id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
1661	aalto	wave	nature	noun	aalto	aalto				wave	aalto	wave			0	
1665	paino	weight	abstract_mid	noun	paino	paino					paino	weight			0	
1678	vaimo	wife	human	noun	vaimo					wife	vaimo	wife			0	
1680	tahto	will	abstract_high	noun	tahto	tahto					tahto	will			0	
1684	ikkuna	window	furniture	noun	ikkuna		window			window	ikkuna	window			0	
1687	siipi	wing	body/animal	noun	siipi					wing	siipi	wing			0	
1691	susi	wolf	animal	noun	susi	susi	wolf			wolf	susi	wolf			0	
1692	nainen	woman	human	noun	nainen					woman	nainen	woman			0	
1697	teos	work	abstract_mid	noun	teos	teos					teos	work			0	
1712	nuoruus	youth	abstract_high	noun	nuoruus	nuoruus					nuoruus	youth			0	
1714	seepra	zebra	animal	noun	seepra		zebra	zebra	ZEBRA_object	zebra	seepra	zebra			0	
